呃	e4	O+P+	轭	e4	2.0	to restrain
	(exclamation)	O+P-	呛	qiang1	1.858	to choke (because of swallowing the wrong way)
		O-P+	遏	e4	2.0	to restrain
		O-P-	慌	huang1	2.0	to get panicky

山	shan1	O+P+	干	gan1	1.858	old variant of 乾|干[gan1]
	surname Shan	O+P-	弋	yi4	2.0	to shoot
		O-P+	删	shan1	2.0	to delete
		O-P-	郁	yu4	1.977	variant of 鬱|郁[yu4]

偿	chang2	O+P+	倘	chang2	1.968	see 倘佯[chang2 yang2]
	to repay	O+P-	倚	yi3	1.881	to lean on
		O-P+	尝	chang2	1.968	to taste
		O-P-	逸	yi4	1.997	to escape

无	wu2	O+P+	毋	wu2	2.0	surname Wu
	not to have	O+P-	见	jian4	1.832	to see
		O-P+	芜	wu2	2.0	overgrown with weeds
		O-P-	创	chuang4	1.957	variant of 創|创[chuang4]

彷	pang2	O+P+	妨	fang2	1.899	to hinder
	irresolute	O+P-	役	yi4	2.0	forced labor
		O-P+	房	fang2	1.899	surname Fang
		O-P-	逸	yi4	1.987	to escape

伶	ling2	O+P+	玲	ling2	1.935	(onom.) ting-a-ling (in compounds such as 玎玲 or 玲瓏|玲珑)
	clever	O+P-	位	wei4	1.827	position
		O-P+	凌	ling2	2.0	surname Ling
		O-P-	外	wai4	2.0	outside

汪	wang1	O+P+	王	wang2	1.998	surname Wang
	surname Wang	O+P-	沪	hu4	1.907	short name for Shanghai
		O-P+	剜	wan1	1.856	to scoop out
		O-P-	剂	ji4	2.0	dose (medicine)

见	jian4	O+P+	欠	qian4	1.958	deficient
	to see	O+P-	毋	wu2	1.852	surname Wu
		O-P+	剑	jian4	2.0	double-edged sword
		O-P-	邬	wu1	1.935	surname Wu

欠	qian4	O+P+	见	jian4	1.958	to see
	deficient	O+P-	毋	wu2	1.850	surname Wu
		O-P+	歉	qian4	2.0	to apologize
		O-P-	邬	wu1	1.934	surname Wu

玄	xuan2	O+P+	田	tian2	1.813	surname Tian
	black	O+P-	玉	yu4	1.978	jade
		O-P+	絃	xian2	1.957	variant of 弦
		O-P-	郁	yu4	1.978	variant of 鬱|郁[yu4]

畔	pan4	O+P+	绊	ban4	1.938	to trip
	edge	O+P-	於	yu1	1.888	surname Yu
		O-P+	半	ban4	1.951	half
		O-P-	一	yi1	1.945	one

弋	yi4	O+P+	已	yi3	1.925	already
	to shoot	O+P-	乡	xiang1	1.894	country or countryside
		O-P+	谊	yi4	1.962	friendship
		O-P-	疮	chuang1	1.940	sore

羊	yang2	O+P+	网	wang3	1.725	net
	surname Yang	O+P-	自	zi4	1.987	from
		O-P+	佯	yang2	2.0	to feign
		O-P-	剂	ji4	2.0	dose (medicine)

干	gan1	O+P+	竿	gan1	2.0	pole
	old variant of 乾|干[gan1]	O+P-	弋	yi4	1.778	to shoot
		O-P+	刊	kan1	1.956	to print
		O-P-	郁	yu4	1.978	variant of 鬱|郁[yu4]

工	gong1	O+P+	弓	gong1	2.0	surname Gong
	work	O+P-	弋	yi4	1.889	to shoot
		O-P+	空	kong1	1.959	empty
		O-P-	耀	yao4	1.862	brilliant

慌	huang1	O+P+	惶	huang2	1.925	frightened
	to get panicky	O+P-	愕	e4	1.871	startled
		O-P+	咣	guang1	1.914	(onom.) bang
		O-P-	逸	yi4	1.999	to escape

毋	wu2	O+P+	无	wu2	2.0	not to have
