Critical:	枉	wang3	Aggregate: 12.414215033124302
Both sim:	旺	wang4	Score: 84.5026
Ortho sim:	析	xi1	Score: 71.8553
Phono sim:	亡	wang2	Score: 90.9732
Both diff:	之	zhi1	Score: 85.7516

Critical:	息	xi1	Aggregate: 10.763880255193847
Both sim:	悉	xi1	Score: 79.0287
Ortho sim:	恙	yang4	Score: 78.6469
Phono sim:	戌	xu1	Score: 95.532
Both diff:	掩	yan3	Score: 75.7904

Critical:	硝	xiao1	Aggregate: 13.145090255441419
Both sim:	销	xiao1	Score: 81.6176
Ortho sim:	硬	ying4	Score: 73.429
Phono sim:	削	xiao1	Score: 92.9972
Both diff:	赢	ying2	Score: 81.7652

Critical:	治	zhi4	Aggregate: 10.803946129123092
Both sim:	沼	zhao3	Score: 78.4634
Ortho sim:	沿	yan2	Score: 78.4203
Phono sim:	置	zhi4	Score: 96.898
Both diff:	纨	wan2	Score: 80.0181

Critical:	泱	yang1	Aggregate: 11.096931348861073
Both sim:	央	yang1	Score: 88.2353
Ortho sim:	沸	fei4	Score: 71.1352
Phono sim:	佯	yang2	Score: 87.6889
Both diff:	蓟	ji4	Score: 90.2801

Critical:	济	ji4	Aggregate: 9.944038665897713
Both sim:	齐	qi2	Score: 81.4245
Ortho sim:	洋	yang2	Score: 76.1062
Phono sim:	剂	ji4	Score: 100.0
Both diff:	豌	wan1	Score: 82.1507

Critical:	汪	wang1	Aggregate: 11.045635754293448
Both sim:	王	wang2	Score: 80.9732
Ortho sim:	沪	hu4	Score: 72.848
Phono sim:	剜	wan1	Score: 89.9216
Both diff:	酗	xu4	Score: 90.1259

Critical:	吹	chui1	Aggregate: 10.136437205474015
Both sim:	吱	zhi1	Score: 73.0366
Ortho sim:	听	yin3	Score: 71.0302
Phono sim:	摧	cui1	Score: 91.2623
Both diff:	摁	en4	Score: 76.2442

Critical:	悉	xi1	Aggregate: 9.66729194836396
Both sim:	息	xi1	Score: 79.0287
Ortho sim:	恙	yang4	Score: 69.4403
Phono sim:	戌	xu1	Score: 95.5989
Both diff:	仰	yang3	Score: 82.6682

Critical:	栖	qi1	Aggregate: 8.363219146929666
Both sim:	硒	xi1	Score: 73.185
Ortho sim:	样	yang4	Score: 78.7091
Phono sim:	七	qi1	Score: 98.8235
Both diff:	雁	yan4	Score: 74.7446

Critical:	仗	zhang4	Aggregate: 9.189163283109494
Both sim:	丈	zhang4	Score: 79.4118
Ortho sim:	仪	yi2	Score: 74.6626
Phono sim:	障	zhang4	Score: 99.0156
Both diff:	壹	yi1	Score: 88.1992

Critical:	缔	di4	Aggregate: 8.446936853049847
Both sim:	啼	ti2	Score: 78.9035
Ortho sim:	缘	yuan2	Score: 64.9871
Phono sim:	剃	ti4	Score: 93.0916
Both diff:	痒	yang3	Score: 74.1717

Critical:	秧	yang1	Aggregate: 9.035876382585124
Both sim:	殃	yang1	Score: 75.8824
Ortho sim:	秩	zhi4	Score: 70.769
Phono sim:	洋	yang2	Score: 91.1202
Both diff:	汽	qi4	Score: 87.5326

Critical:	伪	wei3	Aggregate: 8.970683325261959
Both sim:	为	wei2	Score: 80.9732
Ortho sim:	仲	zhong4	Score: 68.3326
Phono sim:	鲔	wei3	Score: 98.4244
Both diff:	刚	gang1	Score: 83.8433

Critical:	王	wang2	Aggregate: 9.026547619384946
Both sim:	汪	wang1	Score: 80.9732
Ortho sim:	主	zhu3	Score: 63.994
Phono sim:	烷	wan2	Score: 86.9881
Both diff:	骥	ji4	Score: 86.6033

Critical:	铉	xuan4	Aggregate: 8.78179697847573
Both sim:	眩	xuan4	Score: 81.6176
Ortho sim:	铱	yi1	Score: 67.8529
Phono sim:	渲	xuan4	Score: 96.3689
Both diff:	迂	yu1	Score: 87.003

Critical:	倘	chang2	Aggregate: 8.823912928059464
Both sim:	偿	chang2	Score: 79.6006
Ortho sim:	倚	yi3	Score: 69.7628
Phono sim:	尝	chang2	Score: 98.5294
Both diff:	郁	yu4	Score: 84.504

Critical:	析	xi1	Aggregate: 9.255240096934614
Both sim:	枝	zhi1	Score: 73.8998
Ortho sim:	枉	wang3	Score: 71.8553
Phono sim:	戌	xu1	Score: 95.3482
Both diff:	腕	wan4	Score: 81.2345

Critical:	注	zhu4	Aggregate: 7.819801822921055
Both sim:	泣	qi4	Score: 76.5753
Ortho sim:	汪	wang1	Score: 71.53
Phono sim:	贮	zhu4	Score: 100.0
Both diff:	樱	ying1	Score: 76.7973

Critical:	芯	xin1	Aggregate: 8.488288442598382
Both sim:	芹	qin2	Score: 81.6062
Ortho sim:	苇	wei3	Score: 64.9284
Phono sim:	珍	zhen1	Score: 93.6578
Both diff:	扼	e4	Score: 76.9708

Critical:	彷	pang2	Aggregate: 7.731513241099144
Both sim:	妨	fang2	Score: 84.2502
Ortho sim:	役	yi4	Score: 67.237
Phono sim:	房	fang2	Score: 96.0149
Both diff:	睪	yi4	Score: 75.2793

Critical:	格	ge2	Aggregate: 7.843612581393472
Both sim:	桔	jie2	Score: 76.2576
Ortho sim:	桉	an1	Score: 60.7077
Phono sim:	狗	gou3	Score: 91.58
Both diff:	彦	yan4	Score: 72.7208

Critical:	沼	zhao3	Aggregate: 7.177074392898703
Both sim:	治	zhi4	Score: 78.4634
Ortho sim:	沿	yan2	Score: 63.8395
Phono sim:	赵	zhao4	Score: 96.2673
Both diff:	萤	ying2	Score: 71.6653

Critical:	桉	an1	Aggregate: 9.09377871875109
Both sim:	铵	an3	Score: 63.957
Ortho sim:	桂	gui4	Score: 77.1961
Phono sim:	因	yin1	Score: 85.9444
Both diff:	遂	sui4	Score: 85.5939

Critical:	沪	hu4	Aggregate: 7.722491960476163
Both sim:	浩	hao4	Score: 75.062
Ortho sim:	汪	wang1	Score: 72.848
Phono sim:	户	hu4	Score: 100.0
